State/UT,Growth Rate
All India,1388.5384615384614
Uttar Pradesh,348.6923076923077
Karnataka,117.3076923076923
Tamil Nadu,102.0
Rajasthan,84.15384615384616
Bihar,64.38461538461539
Madhya Pradesh,54.53846153846154
Assam,54.46153846153846
Gujarat,50.53846153846154
Odisha,49.23076923076923
Maharashtra,47.76923076923077
Chhattisgarh,42.92307692307692
Jharkhand,39.69230769230769
West Bengal,39.30769230769231
Haryana,35.46153846153846
Punjab,29.46153846153846
Andhra Pradesh,22.076923076923077
Kerala,16.846153846153847
Uttarakhand,15.23076923076923
Himachal Pradesh,8.153846153846153
Jammu & Kashmir,4.846153846153846
Puducherry,3.3846153846153846
Goa,2.5384615384615383
Sikkim,2.230769230769231
Manipur,0.7692307692307693
Daman and Diu,0.38461538461538464
Andaman and Nicobar Islands,0.3076923076923077
Andaman and Nicobar Islands,0.3076923076923077
Lakshadweep,0.0
Lakshadweep,0.0
Chandigarh,-0.38461538461538464
Nagaland,-1.0
Tripura,-1.4615384615384615
Mizoram,-1.6153846153846154
Meghalaya,-2.5384615384615383
Delhi,-3.230769230769231
